#bin	chrom	chromStart	chromEnd	ix	n	size	type	bridge
121	chr11	50740429	50947429	438	N	207000	heterochromatin	no
15	chr11	51450781	54450781	443	N	3000000	centromere	no
1110	chr11	68846377	68848982	570	N	2605	clone	no
1114	chr11	69437111	69454899	578	N	17788	clone	no
1251	chr11	87366026	87378026	731	N	12000	clone	no
1316	chr11	95927232	95942794	803	N	15562	clone	no
585	chr12	0	16000	1	N	16000	telomere	no
79	chr12	7059293	7132293	63	N	73000	contig	no
13	chr12	34747961	36142961	301	N	1395000	centromere	no
144	chr12	74791940	75041940	643	N	250000	contig	no
175	chr12	107857874	107914874	947	N	57000	contig	no
188	chr12	121006020	121156020	1066	N	150000	contig	no
1586	chr12	131272065	131317065	1162	N	45000	contig	no
1594	chr12	132289534	132349534	1172	N	60000	telomere	no
1	chr13	0	16000000	1	N	16000000	short_arm	no
1	chr13	16000000	17868000	2	N	1868000	centromere	no
721	chr13	17868000	17918000	3	N	50000	heterochromatin	no
1238	chr13	85658325	85708325	616	N	50000	clone	no
179	chr13	111151995	111551995	847	N	400000	clone	no
181	chr13	113373994	113473994	865	N	100000	clone	no
1452	chr13	113658050	113758050	868	N	100000	clone	no
1455	chr13	114127980	114142980	873	N	15000	telomere	no
1	chr14	0	15070000	1	N	15070000	short_arm	no
1	chr14	15070000	18070000	2	N	3000000	centromere	no
1396	chr14	106360585	106368585	666	N	8000	telomere	no
1	chr15	0	15260000	1	N	15260000	short_arm	no
1	chr15	15260000	18260000	2	N	3000000	centromere	no
735	chr15	19663478	19763478	15	N	100000	clone	no
92	chr15	20097557	20197557	19	N	100000	clone	no
93	chr15	21066294	21116294	27	N	50000	clone	no
773	chr15	24687593	24731593	58	N	44000	clone	no
777	chr15	25169606	25270606	63	N	101000	clone	no
98	chr15	26378746	26478746	74	N	100000	clone	no
790	chr15	26896735	26996735	78	N	100000	clone	no
1200	chr15	80616700	80676700	513	N	60000	clone	no
1216	chr15	82775477	82835477	532	N	60000	clone	no
1320	chr15	96345672	96367672	650	N	22000	clone	no
650	chr16	8576922	8594422	126	N	17500	clone	no
105	chr16	33930651	34030651	341	N	100000	clone	no
13	chr16	35143302	36943302	351	N	1800000	centromere	no
1	chr16	36943302	44943302	352	N	8000000	heterochromatin	no
1248	chr16	86946884	86966884	708	N	20000	clone	no
1262	chr16	88822254	88827254	727	N	5000	telomere	no
587	chr17	296854	343376	4	N	46522	clone	no
749	chr17	21507209	21607209	179	N	100000	clone	no
94	chr17	22187133	22287133	185	N	100000	centromere	no
103	chr17	31699961	31799961	269	N	100000	clone	no
840	chr17	33429230	33529230	283	N	100000	clone	no
109	chr17	38601721	38701721	329	N	100000	clone	no
133	chr17	63495323	63585323	544	N	90000	clone	no
144	chr17	75058056	75211056	637	N	153000	clone	no
146	chr17	77314182	77379182	656	N	65000	clone	no
148	chr17	78654742	78774742	669	N	120000	telomere	no
10	chr18	15400898	16764896	123	N	1363998	centromere	no
1	chr18	50313134	50360134	395	N	47000	clone	no
1122	chr18	70434333	70462333	552	N	28000	clone	no
1148	chr18	73850808	73872808	582	N	22000	clone	no
585	chr19	0	11000	1	N	11000	telomere	no
640	chr19	7297004	7302004	169	N	5000	clone	no
650	chr19	8593198	8598198	189	N	5000	clone	no
1	chr19	24423622	26923622	407	N	2500000	heterochromatin	no
12	chr19	26923622	29923622	408	N	3000000	centromere	no
12	chr19	29923622	32423622	409	N	2500000	heterochromatin	no
1071	chr19	63806651	63811651	867	N	5000	telomere	no
585	chr20	0	8000	1	N	8000	telomere	no
12	chr20	26267569	28033230	273	N	1765661	centromere	no
12	chr20	28267569	29267569	276	N	1000000	clone	no
847	chr20	34360499	34380499	333	N	20000	clone	no
1046	chr20	60524832	60551882	621	N	27050	clone	no
130	chr20	60623814	60733814	625	N	110000	clone	no
1	chr21	0	9719767	1	N	9719767	short_arm	no
82	chr21	10210000	10260000	6	N	50000	heterochromatin	no
10	chr21	10260000	13260000	7	N	3000000	centromere	no
904	chr21	41877429	41878628	404	N	1199	clone	no
916	chr21	43505733	43507092	432	N	1359	clone	no
1	chr22	0	11330000	1	N	11330000	short_arm	no
10	chr22	11330000	14330000	2	N	3000000	centromere	no
86	chr22	14330000	14430000	3	N	100000	contig	no
87	chr22	15077850	15227850	26	N	150000	contig	no
729	chr22	18889431	18939431	80	N	50000	clone	no
907	chr22	42215733	42227733	425	N	12000	clone	no
913	chr22	43057958	43107958	446	N	50000	clone	no
946	chr22	47356150	47366250	532	N	10100	clone	no
119	chr22	48750436	48767136	561	N	16700	clone	no
959	chr22	49087576	49089176	568	N	1600	clone	no
959	chr22	49107103	49126803	574	N	19700	clone	no
120	chr22	49591432	49691432	587	N	100000	telomere	no
586	chr1_random	145186	195186	3	N	50000	contig	no
73	chr1_random	392934	442934	5	N	50000	contig	no
73	chr1_random	626697	676697	7	N	50000	contig	no
590	chr1_random	728522	778522	9	N	50000	contig	no
73	chr1_random	915337	965337	11	N	50000	contig	no
593	chr1_random	1079393	1129393	13	N	50000	contig	no
74	chr1_random	1155387	1205387	15	N	50000	contig	no
74	chr1_random	1414329	1464329	17	N	50000	contig	no
74	chr1_random	1570762	1620762	19	N	50000	contig	no
586	chr3_random	146010	196010	2	N	50000	contig	no
73	chr3_random	368485	418485	4	N	50000	contig	no
589	chr3_random	556188	606188	6	N	50000	contig	no
586	chr4_random	189789	239789	2	N	50000	contig	no
587	chr4_random	336038	386038	4	N	50000	contig	no
73	chr4_random	390032	440032	6	N	50000	contig	no
73	chr4_random	631501	681501	8	N	50000	contig	no
74	chr6_random	1305230	1355230	2	N	50000	contig	no
73	chr7_random	112804	162804	2	N	50000	contig	no
73	chr7_random	345700	395700	4	N	50000	contig	no
585	chr8_random	12854	62854	2	N	50000	contig	no
73	chr8_random	113804	163804	4	N	50000	contig	no
587	chr8_random	297361	297961	6	N	600	fragment	no
73	chr8_random	346965	396965	8	N	50000	contig	no
588	chr8_random	443047	493047	10	N	50000	contig	no
589	chr8_random	530222	580222	12	N	50000	contig	no
589	chr8_random	583006	583127	14	N	121	fragment	no
589	chr8_random	593258	643258	16	N	50000	contig	no
590	chr8_random	682172	732172	18	N	50000	contig	no
585	chr9_random	36148	86148	2	N	50000	contig	no
587	chr9_random	271291	321291	4	N	50000	contig	no
587	chr9_random	349694	350053	6	N	359	fragment	no
73	chr9_random	476031	526031	8	N	50000	contig	no
73	chr9_random	616116	666116	10	N	50000	contig	no
591	chr9_random	853151	903151	12	N	50000	contig	no
593	chr9_random	1076594	1126594	14	N	50000	contig	no
73	chrX_random	217385	267385	2	N	50000	contig	no
587	chrX_random	291745	341745	4	N	50000	contig	no
589	chrX_random	545876	595876	6	N	50000	contig	no
597	chrX_random	1601165	1651165	8	N	50000	contig	no
585	chr10_random	65432	65454	2	N	22	fragment	no
585	chr11_random	40524	90524	2	N	50000	contig	no
73	chr11_random	125679	175679	4	N	50000	contig	no
585	chr15_random	84911	85817	2	N	906	fragment	no
586	chr15_random	139260	189260	4	N	50000	contig	no
586	chr15_random	198431	198458	6	N	27	fragment	no
587	chr15_random	304426	304951	8	N	525	fragment	no
73	chr15_random	358080	408080	10	N	50000	contig	no
589	chr15_random	527594	577594	12	N	50000	contig	no
590	chr15_random	689458	739458	14	N	50000	contig	no
586	chr17_random	174588	224588	2	N	50000	contig	no
588	chr17_random	410666	460666	4	N	50000	contig	no
589	chr17_random	565054	565161	6	N	107	fragment	no
589	chr17_random	565161	615161	7	N	50000	contig	no
73	chr17_random	757756	807756	9	N	50000	contig	no
592	chr17_random	928106	978106	11	N	50000	contig	no
74	chr17_random	1163555	1213555	13	N	50000	contig	no
594	chr17_random	1214495	1214618	15	N	123	fragment	no
595	chr17_random	1377183	1427183	17	N	50000	contig	no
596	chr17_random	1464626	1514626	19	N	50000	contig	no
596	chr17_random	1559206	1559852	21	N	646	fragment	no
74	chr17_random	1559852	1609852	22	N	50000	contig	no
598	chr17_random	1757206	1807206	24	N	50000	contig	no
74	chr17_random	1826393	1876393	26	N	50000	contig	no
599	chr17_random	1913891	1963891	28	N	50000	contig	no
9	chr17_random	2081554	2131554	30	N	50000	contig	no
75	chr17_random	2212864	2262864	32	N	50000	contig	no
75	chr17_random	2445431	2495431	34	N	50000	contig	no
604	chr17_random	2536432	2586432	36	N	50000	contig	no
604	chr17_random	2612174	2612820	38	N	646	fragment	no
73	chr19_random	92689	142689	2	N	50000	contig	no
585	chr21_random	28709	78709	2	N	50000	contig	no
73	chr21_random	231005	281005	4	N	50000	contig	no
588	chr21_random	465360	515360	6	N	50000	contig	no
73	chr21_random	646416	696416	8	N	50000	contig	no
591	chr21_random	826305	876305	10	N	50000	contig	no
593	chr21_random	1055170	1105170	12	N	50000	contig	no
594	chr21_random	1255172	1305172	14	N	50000	contig	no
596	chr21_random	1471624	1521624	16	N	50000	contig	no
585	chr22_random	40752	90752	2	N	50000	contig	no
74	chr5_h2_hap1	1146088	1186088	11	N	40000	contig	no
73	chr6_qbl_hap2	475847	635157	8	N	159310	contig	no
605	chr6_qbl_hap2	2634861	2686011	36	N	51150	contig	no
607	chr6_qbl_hap2	2977123	3003554	41	N	26431	contig	no
76	chr6_qbl_hap2	3270193	3322986	45	N	52793	contig	no
615	chr6_qbl_hap2	3946978	3973953	56	N	26975	contig	no
